     peaks (eV)      intensity
       -3.02791      0.0862842
       -3.01291      0.0849902
       -2.99791      0.0838679
       -2.98291      0.0829007
       -2.96791      0.0820725
       -2.95291      0.0813674
       -2.93791        0.08077
       -2.92291      0.0802665
       -2.90791      0.0798446
       -2.89291      0.0794939
       -2.87791       0.079207
       -2.86291      0.0789785
       -2.84791      0.0788056
       -2.83291      0.0786868
       -2.81791      0.0786221
       -2.80291       0.078611
       -2.78791       0.078653
       -2.77291      0.0787463
       -2.75791       0.078888
       -2.74291       0.079074
       -2.72791      0.0792999
       -2.71291      0.0795614
       -2.69791       0.079855
       -2.68291      0.0801789
       -2.66791      0.0805336
       -2.65291      0.0809212
       -2.63791      0.0813462
       -2.62291      0.0818142
       -2.60791      0.0823314
       -2.59291       0.082904
       -2.57791      0.0835375
       -2.56291      0.0842367
       -2.54791      0.0850054
       -2.53291      0.0858467
       -2.51791      0.0867639
       -2.50291       0.087761
       -2.48791      0.0888433
       -2.47291      0.0900179
       -2.45791       0.091294
       -2.44291       0.092683
       -2.42791      0.0941979
       -2.41291       0.095853
       -2.39791      0.0976636
       -2.38291      0.0996452
       -2.36791       0.101814
       -2.35291       0.104184
       -2.33791       0.106773
       -2.32291       0.109595
       -2.30791       0.112667
       -2.29291       0.116004
       -2.27791       0.119625
       -2.26291       0.123546
       -2.24791       0.127786
       -2.23291       0.132362
       -2.21791       0.137292
       -2.20291       0.142592
       -2.18791       0.148277
       -2.17291       0.154359
       -2.15791       0.160847
       -2.14291       0.167747
       -2.12791       0.175062
       -2.11291        0.18279
       -2.09791       0.190927
       -2.08291       0.199469
       -2.06791       0.208406
       -2.05291       0.217731
       -2.03791       0.227435
       -2.02291       0.237506
       -2.00791       0.247927
       -1.99291       0.258676
       -1.97791       0.269719
       -1.96291       0.281004
       -1.94791        0.29246
       -1.93291       0.303994
       -1.91791        0.31549
       -1.90291        0.32681
       -1.88791       0.337801
       -1.87291       0.348301
       -1.85791       0.358147
       -1.84291       0.367185
       -1.82791       0.375276
       -1.81291         0.3823
       -1.79791       0.388157
       -1.78291       0.392766
       -1.76791       0.396064
       -1.75291          0.398
       -1.73791       0.398542
       -1.72291       0.397677
       -1.70791       0.395416
       -1.69291       0.391805
       -1.67791       0.386925
       -1.66291       0.380897
       -1.64791       0.373877
       -1.63291       0.366047
       -1.61791       0.357604
       -1.60291       0.348747
       -1.58791       0.339664
       -1.57291       0.330518
       -1.55791       0.321446
       -1.54291       0.312549
       -1.52791       0.303895
       -1.51291       0.295524
       -1.49791       0.287451
       -1.48291       0.279674
       -1.46791       0.272184
       -1.45291       0.264968
       -1.43791       0.258018
       -1.42291       0.251331
       -1.40791       0.244911
       -1.39291       0.238769
       -1.37791       0.232915
       -1.36291       0.227362
       -1.34791       0.222117
       -1.33291       0.217181
       -1.31791       0.212545
       -1.30291       0.208196
       -1.28791       0.204113
       -1.27291       0.200271
       -1.25791       0.196647
       -1.24291       0.193221
       -1.22791       0.189982
       -1.21291       0.186925
       -1.19791       0.184058
       -1.18291       0.181394
       -1.16791       0.178958
       -1.15291       0.176775
       -1.13791       0.174872
       -1.12291       0.173274
       -1.10791          0.172
       -1.09291       0.171062
       -1.07791        0.17046
       -1.06291       0.170184
       -1.04791       0.170212
       -1.03291        0.17051
       -1.01791       0.171032
       -1.00291       0.171723
      -0.987912       0.172521
      -0.972912       0.173359
      -0.957912       0.174172
      -0.942912         0.1749
      -0.927912       0.175489
      -0.912912         0.1759
      -0.897912       0.176104
      -0.882912       0.176087
      -0.867912       0.175843
      -0.852912       0.175373
      -0.837912       0.174683
      -0.822912       0.173774
      -0.807912       0.172647
      -0.792912       0.171298
      -0.777912       0.169721
      -0.762912       0.167911
      -0.747912       0.165869
      -0.732912         0.1636
      -0.717912       0.161123
      -0.702912       0.158466
      -0.687912       0.155668
      -0.672912       0.152776
      -0.657912       0.149837
      -0.642912       0.146901
      -0.627912       0.144011
      -0.612912       0.141202
      -0.597912       0.138498
      -0.582912        0.13591
      -0.567912       0.133437
      -0.552912       0.131068
      -0.537912        0.12878
      -0.522912       0.126548
      -0.507912       0.124341
      -0.492912       0.122132
      -0.477912       0.119897
      -0.462912       0.117621
      -0.447912       0.115299
      -0.432912       0.112935
      -0.417912       0.110545
      -0.402912       0.108151
      -0.387912       0.105777
      -0.372912       0.103455
      -0.357912        0.10121
      -0.342912      0.0990679
      -0.327912      0.0970472
      -0.312912      0.0951606
      -0.297912      0.0934138
      -0.282912       0.091805
      -0.267912      0.0903254
      -0.252912        0.08896
      -0.237912      0.0876884
      -0.222912      0.0864865
      -0.207912      0.0853284
      -0.192912      0.0841884
      -0.177912      0.0830433
      -0.162912      0.0818744
      -0.147912      0.0806693
      -0.132912      0.0794228
      -0.117912      0.0781373
      -0.102912      0.0768217
     -0.0879124      0.0754905
     -0.0729124      0.0741619
     -0.0579124      0.0728556
     -0.0429124       0.071591
     -0.0279124       0.070386
     -0.0129124      0.0692549
     0.00208763      0.0682083
      0.0170876      0.0672527
      0.0320876      0.0663897
      0.0470876       0.065617
      0.0620876      0.0649285
      0.0770876      0.0643151
      0.0920876      0.0637657
       0.107088      0.0632685
       0.122088       0.062812
       0.137088      0.0623862
       0.152088       0.061984
       0.167088      0.0616019
       0.182088      0.0612398
       0.197088      0.0609017
       0.212088      0.0605942
       0.227088       0.060326
       0.242088      0.0601067
       0.257088      0.0599449
       0.272088      0.0598478
       0.287088      0.0598194
       0.302088        0.05986
       0.317088      0.0599654
       0.332088      0.0601271
       0.347088      0.0603316
       0.362088      0.0605616
       0.377088      0.0607965
       0.392088      0.0610135
       0.407088      0.0611896
       0.422088      0.0613036
       0.437088      0.0613377
       0.452088      0.0612796
       0.467088      0.0611235
       0.482088      0.0608707
       0.497088      0.0605294
       0.512088      0.0601132
       0.527088      0.0596399
       0.542088      0.0591287
       0.557088      0.0585988
       0.572088       0.058067
       0.587088      0.0575463
       0.602088      0.0570448
       0.617088      0.0565654
       0.632088      0.0561057
       0.647088      0.0556583
       0.662088      0.0552126
       0.677088      0.0547553
       0.692088      0.0542728
       0.707088      0.0537526
       0.722088      0.0531851
       0.737088       0.052565
       0.752088      0.0518918
       0.767088      0.0511703
       0.782088      0.0504098
       0.797088      0.0496232
       0.812088      0.0488256
       0.827088      0.0480328
       0.842088      0.0472598
       0.857088      0.0465199
       0.872088      0.0458235
       0.887088      0.0451776
       0.902088      0.0445854
       0.917088      0.0440465
       0.932088      0.0435567
       0.947088      0.0431085
       0.962088      0.0426919
       0.977088      0.0422949
       0.992088      0.0419047
        1.00709      0.0415088
        1.02209      0.0410961
        1.03709       0.040658
        1.05209      0.0401892
        1.06709      0.0396884
        1.08209      0.0391579
        1.09709      0.0386035
        1.11209      0.0380339
        1.12709      0.0374592
        1.14209      0.0368902
        1.15709      0.0363376
        1.17209      0.0358107
        1.18709      0.0353169
        1.20209      0.0348614
        1.21709      0.0344469
        1.23209      0.0340733
        1.24709      0.0337383
        1.26209      0.0334368
        1.27709       0.033162
        1.29209      0.0329054
        1.30709       0.032658
        1.32209      0.0324101
        1.33709      0.0321532
        1.35209      0.0318801
        1.36709      0.0315859
        1.38209      0.0312683
        1.39709      0.0309281
        1.41209      0.0305687
        1.42709       0.030196
        1.44209      0.0298177
        1.45709      0.0294425
        1.47209      0.0290795
        1.48709      0.0287374
        1.50209      0.0284243
        1.51709      0.0281472
        1.53209      0.0279115
        1.54709      0.0277214
        1.56209      0.0275794
        1.57709      0.0274866
        1.59209      0.0274425
        1.60709      0.0274449
        1.62209      0.0274902
        1.63709      0.0275734
        1.65209       0.027688
        1.66709       0.027826
        1.68209      0.0279788
        1.69709       0.028137
        1.71209      0.0282915
        1.72709      0.0284335
        1.74209      0.0285561
        1.75709      0.0286541
        1.77209      0.0287251
        1.78709      0.0287697
        1.80209      0.0287911
        1.81709      0.0287953
        1.83209      0.0287901
        1.84709      0.0287844
        1.86209      0.0287877
        1.87709      0.0288088
        1.89209      0.0288556
        1.90709      0.0289341
        1.92209      0.0290483
        1.93709      0.0291998
        1.95209      0.0293874
        1.96709      0.0296074
        1.98209      0.0298532
        1.99709      0.0301159
        2.01209      0.0303842
        2.02709      0.0306456
        2.04209      0.0308864
        2.05709      0.0310932
        2.07209      0.0312542
        2.08709      0.0313596
        2.10209      0.0314034
        2.11709      0.0313834
        2.13209      0.0313019
        2.14709      0.0311653
        2.16209      0.0309834
        2.17709      0.0307684
        2.19209      0.0305339
        2.20709      0.0302937
        2.22209      0.0300606
        2.23709      0.0298457
        2.25209      0.0296576
        2.26709      0.0295024
        2.28209       0.029383
        2.29709      0.0292989
        2.31209      0.0292471
        2.32709      0.0292212
        2.34209      0.0292125
        2.35709      0.0292105
        2.37209      0.0292032
        2.38709      0.0291781
        2.40209      0.0291236
        2.41709      0.0290297
        2.43209      0.0288889
        2.44709      0.0286973
        2.46209      0.0284548
        2.47709      0.0281648
        2.49209      0.0278343
        2.50709      0.0274728
        2.52209      0.0270914
        2.53709      0.0267017
        2.55209      0.0263152
        2.56709      0.0259424
        2.58209      0.0255918
        2.59709      0.0252703
        2.61209      0.0249821
        2.62709      0.0247295
        2.64209      0.0245121
        2.65709      0.0243274
        2.67209      0.0241709
        2.68709      0.0240363
        2.70209      0.0239161
        2.71709      0.0238018
        2.73209      0.0236846
        2.74709      0.0235564
        2.76209      0.0234102
        2.77709       0.023241
        2.79209      0.0230458
        2.80709      0.0228247
        2.82209        0.02258
        2.83709      0.0223164
        2.85209      0.0220403
        2.86709      0.0217593
        2.88209      0.0214814
        2.89709      0.0212145
        2.91209      0.0209657
        2.92709      0.0207411
        2.94209      0.0205456
        2.95709      0.0203823
        2.97209       0.020253
        2.98709      0.0201576
        3.00209      0.0200946
        3.01709      0.0200605
        3.03209      0.0200504
        3.04709       0.020058
        3.06209      0.0200753
        3.07709      0.0200937
        3.09209      0.0201037
        3.10709       0.020096
        3.12209      0.0200617
        3.13709      0.0199935
        3.15209      0.0198859
        3.16709       0.019736
        3.18209      0.0195436
        3.19709      0.0193112
        3.21209      0.0190436
        3.22709      0.0187478
        3.24209      0.0184318
        3.25709      0.0181041
        3.27209      0.0177734
        3.28709      0.0174474
        3.30209      0.0171334
        3.31709      0.0168371
        3.33209      0.0165632
        3.34709      0.0163148
        3.36209      0.0160942
        3.37709      0.0159019
        3.39209      0.0157378
        3.40709      0.0156002
        3.42209      0.0154867
        3.43709      0.0153938
        3.45209      0.0153173
        3.46709      0.0152521
        3.48209      0.0151929
        3.49709      0.0151341
        3.51209      0.0150704
        3.52709      0.0149969
        3.54209      0.0149098
        3.55709      0.0148068
        3.57209      0.0146868
        3.58709      0.0145504
        3.60209      0.0143997
        3.61709       0.014238
        3.63209      0.0140695
        3.64709      0.0138989
        3.66209       0.013731
        3.67709      0.0135702
        3.69209      0.0134208
        3.70709      0.0132862
        3.72209       0.013169
        3.73709      0.0130711
        3.75209      0.0129934
        3.76709      0.0129361
        3.78209      0.0128982
        3.79709      0.0128781
        3.81209      0.0128734
        3.82709      0.0128808
        3.84209      0.0128962
        3.85709      0.0129152
        3.87209      0.0129329
        3.88709      0.0129445
        3.90209      0.0129453
        3.91709      0.0129316
        3.93209      0.0129005
        3.94709      0.0128504
        3.96209      0.0127811
        3.97709       0.012694
        3.99209      0.0125917
        4.00709      0.0124779
        4.02209      0.0123567
        4.03709      0.0122329
        4.05209      0.0121109
        4.06709      0.0119951
        4.08209      0.0118891
        4.09709      0.0117961
        4.11209      0.0117181
        4.12709      0.0116566
        4.14209      0.0116121
        4.15709      0.0115843
        4.17209      0.0115719
        4.18709       0.011573
        4.20209      0.0115848
        4.21709      0.0116036
        4.23209      0.0116253
        4.24709      0.0116455
        4.26209      0.0116594
        4.27709      0.0116626
        4.29209      0.0116511
        4.30709      0.0116218
        4.32209      0.0115727
        4.33709      0.0115033
        4.35209      0.0114144
        4.36709       0.011308
        4.38209      0.0111872
        4.39709      0.0110559
        4.41209      0.0109186
        4.42709      0.0107797
        4.44209      0.0106437
        4.45709      0.0105143
        4.47209      0.0103954
        4.48709      0.0102897
        4.50209      0.0101997
        4.51709      0.0101274
        4.53209      0.0100742
        4.54709      0.0100409
        4.56209      0.0100281
        4.57709      0.0100358
        4.59209      0.0100638
        4.60709      0.0101112
        4.62209      0.0101769
        4.63709      0.0102591
