     peaks (eV)      intensity
      -0.987912       0.106504
      -0.972912        0.10426
      -0.957912       0.102174
      -0.942912        0.10023
      -0.927912      0.0984071
      -0.912912      0.0966883
      -0.897912      0.0950564
      -0.882912      0.0934972
      -0.867912      0.0920003
      -0.852912      0.0905595
      -0.837912      0.0891727
      -0.822912      0.0878415
      -0.807912      0.0865704
      -0.792912      0.0853654
      -0.777912      0.0842323
      -0.762912      0.0831763
      -0.747912      0.0821998
      -0.732912      0.0813023
      -0.717912        0.08048
      -0.702912      0.0797253
      -0.687912      0.0790277
      -0.672912      0.0783742
      -0.657912      0.0777509
      -0.642912      0.0771442
      -0.627912      0.0765422
      -0.612912      0.0759363
      -0.597912      0.0753225
      -0.582912      0.0747013
      -0.567912      0.0740786
      -0.552912      0.0734645
      -0.537912      0.0728725
      -0.522912      0.0723179
      -0.507912      0.0718169
      -0.492912      0.0713842
      -0.477912      0.0710328
      -0.462912       0.070772
      -0.447912      0.0706073
      -0.432912      0.0705397
      -0.417912      0.0705652
      -0.402912      0.0706748
      -0.387912      0.0708549
      -0.372912      0.0710874
      -0.357912      0.0713506
      -0.342912      0.0716207
      -0.327912      0.0718731
      -0.312912      0.0720839
      -0.297912      0.0722323
      -0.282912       0.072302
      -0.267912      0.0722821
      -0.252912      0.0721682
      -0.237912      0.0719614
      -0.222912      0.0716672
      -0.207912      0.0712942
      -0.192912      0.0708514
      -0.177912       0.070347
      -0.162912      0.0697859
      -0.147912      0.0691699
      -0.132912      0.0684968
      -0.117912      0.0677613
      -0.102912      0.0669566
     -0.0879124      0.0660757
     -0.0729124      0.0651139
     -0.0579124      0.0640697
     -0.0429124      0.0629466
     -0.0279124      0.0617528
     -0.0129124      0.0605016
     0.00208763      0.0592099
      0.0170876      0.0578972
      0.0320876      0.0565839
      0.0470876      0.0552898
      0.0620876      0.0540331
      0.0770876       0.052829
      0.0920876      0.0516898
       0.107088      0.0506241
       0.122088      0.0496371
       0.137088      0.0487301
       0.152088      0.0479017
       0.167088      0.0471473
       0.182088      0.0464598
       0.197088      0.0458306
       0.212088      0.0452496
       0.227088      0.0447063
       0.242088      0.0441907
       0.257088       0.043694
       0.272088      0.0432094
       0.287088      0.0427326
       0.302088      0.0422623
       0.317088      0.0417998
       0.332088      0.0413488
       0.347088      0.0409149
       0.362088      0.0405047
       0.377088      0.0401252
       0.392088      0.0397824
       0.407088      0.0394815
       0.422088      0.0392257
       0.437088      0.0390162
       0.452088      0.0388516
       0.467088      0.0387284
       0.482088      0.0386405
       0.497088        0.03858
       0.512088      0.0385372
       0.527088      0.0385015
       0.542088      0.0384623
       0.557088      0.0384095
       0.572088      0.0383349
       0.587088      0.0382325
       0.602088      0.0380993
